frequency,Tmag,Tphase
1,63.5808396,-0.0483057962
1.12201845,63.5808388,-0.0541999915
1.25892541,63.5808378,-0.060813386
1.41253754,63.5808365,-0.0682337347
1.58489319,63.5808349,-0.0765595002
1.77827941,63.5808329,-0.0859011588
1.99526231,63.5808304,-0.0963826667
2.23872114,63.5808272,-0.108143104
2.51188643,63.5808232,-0.121338521
2.81838293,63.5808182,-0.136144008
3.16227766,63.5808118,-0.152756015
3.54813389,63.5808038,-0.171394962
3.98107171,63.5807938,-0.192308162
4.46683592,63.5807811,-0.215773097
5.01187234,63.5807652,-0.2421011
5.62341325,63.5807451,-0.271641484
6.30957344,63.5807198,-0.304786167
7.07945784,63.580688,-0.341974869
7.94328235,63.5806479,-0.383700934
8.91250938,63.5805975,-0.430517862
10,63.580534,-0.483046633
11.2201845,63.5804541,-0.541983912
12.5892541,63.5803535,-0.608111255
14.1253754,63.5802268,-0.682305418
15.8489319,63.5800674,-0.765549902
17.7827941,63.5798667,-0.858947885
19.9526231,63.579614,-0.963736687
22.3872114,63.5792959,-1.08130395
25.1188643,63.5788955,-1.2132057
28.1838293,63.5783915,-1.36118652
31.6227766,63.577757,-1.52720202
35.4813389,63.5769584,-1.71344381
39.8107171,63.5759532,-1.92236725
44.6683592,63.5746881,-2.15672207
50.1187234,63.5730959,-2.41958621
56.2341325,63.5710923,-2.71440282
63.0957344,63.5685713,-3.04502062
70.7945784,63.5653995,-3.41573737
79.4328235,63.5614098,-3.83134636
89.1250938,63.5563923,-4.29718506
100,63.5500839,-4.81918507
112.201845,63.542155,-5.40392156
125.892541,63.5321937,-6.05865969
141.253754,63.5196856,-6.7913941
158.489319,63.5039898,-7.61087607
177.827941,63.4843103,-8.52662072
199.526231,63.4596615,-9.54888362
223.872114,63.428828,-10.6885931
251.188643,63.3903197,-11.9572204
281.838293,63.342321,-13.3665649
316.227766,63.282639,-14.9284293
354.813389,63.2086516,-16.6541558
398.107171,63.1172641,-18.5539976
446.683592,63.0048828,-20.6363076
501.187234,62.8674166,-22.9065464
562.341325,62.7003233,-25.3661433
630.957344,62.4987135,-28.0112939
707.945784,62.2575259,-30.8318363
794.328235,61.9717762,-33.810402
891.250938,61.6368697,-36.9220737
1000,61.2489469,-40.1347599
1122.01845,60.8052175,-43.4104069
1258.92541,60.3042261,-46.7070134
1412.53754,59.7459986,-49.9812249
1584.89319,59.1320399,-53.1911361
1778.27941,58.4651818,-56.298871
1995.26231,57.7493151,-59.2725723
2238.72114,56.9890537,-62.0875842
2511.88643,56.1893894,-64.7267995
2818.38293,55.3553813,-67.1802964
3162.27766,54.4919092,-69.4444759
3548.13389,53.6035012,-71.5209326
3981.07171,52.6942318,-73.4152523
4466.83592,51.767677,-75.1358708
5011.87234,50.8269153,-76.6931208
5623.41325,49.8745525,-78.098361
6309.57344,48.9127679,-79.3634201
7079.45784,47.943365,-80.5001051
7943.28235,46.9678237,-81.5198874
8912.50938,45.9873506,-82.4336923
10000,45.0029245,-83.2517897
11220.1845,44.0153346,-83.9836359
12589.2541,43.025218,-84.6380525
14125.3754,42.0330846,-85.2229878
15848.9319,41.0393434,-85.745732
17782.7941,40.0443213,-86.2128743
19952.6231,39.0482795,-86.6303727
22387.2114,38.0514261,-87.0035786
25118.8643,37.0539271,-87.3373268
28183.8293,36.0559147,-87.6359644
31622.7766,35.057494,-87.9033773
35481.3389,34.0587488,-88.1430771
39810.7171,33.0597457,-88.3582138
44668.3592,32.0605375,-88.5516223
50118.7234,31.0611664,-88.7258478
56234.1325,30.0616657,-88.8831955
63095.7344,29.062062,-89.0257438
70794.5784,28.0623764,-89.1553734
79432.8235,27.0626255,-89.2738091
89125.0938,26.0628228,-89.3826141
100000,25.0629786,-89.4832301
112201.845,24.0631013,-89.5769924
125892.541,23.0631973,-89.6651447
141253.754,22.0632718,-89.7488564
158489.319,21.0633288,-89.8292371
177827.941,20.0633713,-89.9073506
199526.231,19.0634016,-89.9842382
223872.114,18.0634213,-90.0609155
251188.643,17.0634313,-90.1384008
281838.293,16.0634323,-90.2177241
316227.766,15.0634244,-90.2999365
354813.389,14.063407,-90.38613
398107.171,13.0633792,-90.4774473
446683.592,12.0633396,-90.5751009
501187.234,11.0632861,-90.6803869
562341.325,10.0632158,-90.7947027
630957.344,9.06312485,-90.9195656
707945.784,8.06300847,-91.0566336
794328.235,7.0628604,-91.2077262
891250.938,6.06267265,-91.3748506
1000000,5.06243512,-91.5602262
1122018.45,4.06213494,-91.7663159
1258925.41,3.06175584,-91.9958585
1412537.54,2.06127713,-92.2519053
1584893.19,1.06067261,-92.5378611
1778279.41,0.0599089594,-92.8575302
1995262.31,-0.941056198,-93.2151662
2238721.14,-1.94227676,-93.6155293
2511886.43,-2.94382143,-94.0639493
2818382.93,-3.94577785,-94.5663943
3162277.66,-4.94825773,-95.1295475
3548133.89,-5.95140344,-95.7608904
3981071.71,-6.95539593,-96.468792
4466835.92,-7.96046445,-97.262607
5011872.34,-8.96689794,-98.1527796
5623413.25,-9.97505827,-99.1509595
6309573.44,-10.9853953,-100.270134
7079457.84,-11.9984647,-101.524787
7943282.35,-13.01495,-102.931108
8912509.38,-14.0356937,-104.507269
10000000,-15.0617464,-106.273819
11220184.5,-16.0944554,-108.254176
12589254.1,-17.1356227,-110.475173
14125375.4,-18.1877686,-112.967299
15848931.9,-19.2544992,-115.764044
17782794.1,-20.3408694,-118.899689
19952623.1,-21.4535586,-122.405792
22387211.4,-22.6007811,-126.307895
25118864.3,-23.7921778,-130.623811
28183829.3,-25.0390913,-135.362233
31622776.6,-26.3553071,-140.517734
35481338.9,-27.7578276,-146.058233
39810717.1,-29.2668791,-151.902428
44668359.2,-30.9038985,-157.885862
50118723.4,-32.6852031,-163.718175
56234132.5,-34.6076089,-168.950118
63095734.4,-36.6229559,-173.011176
70794578.4,-38.6101243,-175.440318
79432823.5,-40.3856468,-176.369689
89125093.8,-41.8033474,-176.854042
100000000,-42.8717052,-178.327865
112201845,-43.7277165,-181.624981
125892541,-44.5131602,-186.748567
141253754,-45.3093962,-193.287422
158489319,-46.1435045,-200.782653
177827941,-47.012586,-208.865023
199526231,-47.9014487,-217.268036
223872114,-48.7918324,-225.805109
251188643,-49.6664568,-234.344956
281838293,-50.5105091,-242.793043
316227766,-51.3120026,-251.078911
354813389,-52.061703,-259.147713
398107171,-52.7529396,-266.954668
446683592,-53.3814197,-274.461687
501187234,-53.9450641,-281.635695
562341325,-54.4438333,-288.448264
630957344,-54.8795061,-294.876113
707945784,-55.2553873,-300.901984
794328235,-55.5759518,-306.515441
891250938,-55.8464533,-311.713258
1000000000,-56.0725404,-316.499269
